,rates
AED,3.747542
AFN,92.071539
ALL,116.854655
AMD,413.442826
ANG,1.832482
AOA,442.068898
ARS,133.552271
AUD,1.46035
AWG,1.836482
AZN,1.734532
BAM,1.958619
BBD,2.052993
BDT,96.317149
BGN,1.956226
BHD,0.38461599999999996
BIF,2094.602476
BMD,1.020268
BND,1.410601
BOB,6.99059
BRL,5.350791
BSD,1.0167329999999999
BTC,4.472146600000001e-05
BTN,81.223129
BWP,12.887059
BYN,2.566917
BYR,19997.245277
BZD,2.049488
CAD,1.308631
CDF,2043.086074
CHF,0.9778549999999999
CLF,0.033657
CLP,928.698785
CNY,6.884149
COP,4519.418243
CRC,681.747304
CUC,1.020268
CUP,27.037092
CVE,110.424382
CZK,24.550678
DJF,181.015061
DKK,7.444576
DOP,55.26241
DZD,149.248028
EGP,19.319686
ERN,15.304014
ETB,53.494601
EUR,1.0
FJD,2.253746
FKP,0.859409
GBP,0.8387009999999999
GEL,2.8235859999999997
GGP,0.859409
GHS,8.566791
GIP,0.859409
GMD,55.145235
GNF,8801.374177
GTQ,7.865168
GYD,212.740189
HKD,8.008539
HNL,25.015493
HRK,7.513966
HTG,116.658666
HUF,403.29644
IDR,15266.825488
ILS,3.491733
IMP,0.859409
INR,81.37858
IQD,1483.961899
IRR,43259.347087
ISK,138.878866
JEP,0.859409
JMD,155.685896
JOD,0.7233839999999999
JPY,138.078427
KES,120.748576
KGS,84.037811
KHR,4166.853019
KMF,495.875529
KPW,918.240846
KRW,1330.143042
KWD,0.31363
KYD,0.847294
KZT,486.27519
LAK,15328.398602
LBP,1537.381328
LKR,366.040172
LRD,155.591042
LSL,17.16039
LTL,3.012585
LVL,0.6171500000000001
LYD,4.956885
MAD,10.480327
MDL,19.649187
MGA,4283.996399
MKD,61.702547
MMK,1882.563942
MNT,3208.394754
MOP,8.220722
MRO,364.235363
MUR,45.602799
MVR,15.774939
MWK,1043.362158
MXN,20.804665
MYR,4.546327
MZN,65.12394
NAD,17.168553
NGN,424.064234
NIO,36.508158
NOK,9.930057
NPR,129.952384
NZD,1.629675
OMR,0.39284399999999997
PAB,1.016748
PEN,3.9883
PGK,3.58352
PHP,56.758457
PKR,240.213775
PLN,4.784239
PYG,7001.565612
QAR,3.714539
RON,4.914727
RSD,117.350874
RUB,60.578442
RWF,1043.520609
SAR,3.83192
SBD,8.325352
SCR,13.376559
SDG,580.019958
SEK,10.425655
SGD,1.4103569999999999
SHP,1.405316
SLL,14174.066666
SOS,591.754901
SRD,24.60733
STD,21117.479743
SVC,8.896536
SYP,2563.452415
SZL,17.145459
THB,37.401964
TJS,10.376628
TMT,3.54543
TND,3.245452
TOP,2.392579
TRY,18.233182
TTD,6.903928
TWD,30.531715
TZS,2376.47471
UAH,37.534388
UGX,3944.751703
USD,1.020268
UYU,42.396193
UZS,11126.096365
VND,23846.20486
VUV,121.305764
WST,2.776118
XAF,656.889033
XAG,0.053009
XAU,0.000588
XCD,2.757324
XDR,0.7728889999999999
XOF,656.882586
XPF,120.899642
YER,255.219937
ZAR,17.034235
ZMK,9183.639386
ZMW,17.132741
ZWL,328.525756
